month,rides,total_sec,bike_count,terminal_count
2010-09,4104,7947582,387,63
2010-10,36241,62976042,802,106
2010-11,47195,56698944,885,107
2010-12,28313,25006593,852,105
2011-01,37553,29220813,829,107
2011-02,47487,44646986,878,107
2011-03,63222,73836488,915,106
2011-04,93675,128990287,964,113
2011-05,134475,191926924,979,114
2011-06,142297,183308239,972,115
2011-07,139839,188464517,964,117
2011-08,135285,171400448,948,116
2011-09,126102,148467777,935,118
2011-10,122405,142147385,937,117
2011-11,101255,101418311,1031,126
2011-12,86740,73195629,1207,140
2012-01,96153,77889608,1215,141
2012-02,102538,82303024,1267,149
2012-03,163947,182577016,1290,151
2012-04,173290,203231056,1361,162
2012-05,195118,227741700,1497,168
2012-06,201845,231704428,1479,174
2012-07,202614,229473255,1518,178
2012-08,213482,222134541,1527,185
2012-09,217580,233534378,1588,188
2012-10,197892,199652779,1660,190
2012-11,152002,134184902,1667,190
2012-12,123159,100866832,1658,190
2013-01,125763,103516396,1677,195
2013-02,110861,81092476,1740,199
2013-03,158473,159522146,1777,203
